anchor,match_1,match_2,model_score,llava_score
data\2452_1.jpg,data\1901_3.jpg,data\2876_1.jpg,6.14,8
data\1711_1.jpg,data\1843_2.jpg,data\709_1.jpg,6.0,8
data\527_1.jpg,data\1491_3.jpg,data\1520_1.jpg,6.32,8
data\1949_1.jpg,data\2323_2.jpg,data\1962_1.jpg,6.06,8
data\1964_1.jpg,data\2323_2.jpg,data\2932_2.jpg,6.08,8
data\1622_1.jpg,data\1638_1.jpg,data\1642_1.jpg,6.08,9
data\2958_1.jpg,data\1638_1.jpg,data\2252_1.jpg,6.2,8
data\473_1.jpg,data\1539_2.jpg,data\1777_1.jpg,6.14,8
data\103_1.jpg,data\2396_1.jpg,data\1961_1.jpg,6.26,8
data\837_1.jpg,data\132_1.jpg,data\3196_1.jpg,6.2,8
data\3217_1.jpg,data\1680_1.jpg,data\3186_1.jpg,6.16,8
data\979_1.jpg,data\975_3.jpg,data\753_1.jpg,5.94,8
data\2637_1.jpg,data\938_3.jpg,data\1684_1.jpg,6.0,10
data\353_1.jpg,data\132_1.jpg,data\1689_1.jpg,6.34,8
data\2433_1.jpg,data\1921_1.jpg,data\2833_1.jpg,6.18,8
data\1931_1.jpg,data\1039_2.jpg,data\2176_3.jpg,5.98,8
data\52_1.jpg,data\1878_1.jpg,data\744_1.jpg,6.14,10
data\2546_1.jpg,data\1442_1.jpg,data\1520_1.jpg,6.2,8
data\1028_1.jpg,data\521_3.jpg,data\1059_1.jpg,6.24,8
data\2854_1.jpg,data\2503_2.jpg,data\1253_1.jpg,5.96,8
data\3402_1.jpg,data\1218_1.jpg,data\684_1.jpg,6.3,8
data\2631_1.jpg,data\3503_2.jpg,data\2793_1.jpg,6.16,8
data\2043_1.jpg,data\2396_1.jpg,data\1961_1.jpg,6.2,8
data\1092_1.jpg,data\787_1.jpg,data\1135_1.jpg,5.92,8
data\2708_1.jpg,data\2057_3.jpg,data\3133_1.jpg,6.16,8
data\4_1.jpg,data\128_1.jpg,data\431_2.jpg,6.12,8
data\565_1.jpg,data\132_1.jpg,data\613_1.jpg,6.2,8
data\61_1.jpg,data\2396_1.jpg,data\1785_3.jpg,5.92,8
data\3304_1.jpg,data\1337_3.jpg,data\1632_1.jpg,6.38,3
data\2386_1.jpg,data\1643_2.jpg,data\40_3.jpg,5.8,8
data\1069_1.jpg,data\1052_1.jpg,data\858_2.jpg,6.14,8
data\1899_1.jpg,data\1341_2.jpg,data\1529_1.jpg,6.02,8
data\1015_1.jpg,data\815_3.jpg,data\1144_1.jpg,6.14,8
data\2099_1.jpg,data\916_3.jpg,data\1962_1.jpg,6.12,8
data\1722_1.jpg,data\1785_1.jpg,data\79_1.jpg,6.0,8
data\3475_1.jpg,data\1179_3.jpg,data\1520_1.jpg,6.3,8
data\1455_1.jpg,data\274_3.jpg,data\1551_1.jpg,6.04,8
data\2786_1.jpg,data\875_3.jpg,data\991_1.jpg,6.12,8
data\369_1.jpg,data\1442_1.jpg,data\1520_1.jpg,6.22,8
data\2652_1.jpg,data\1377_3.jpg,data\2143_1.jpg,6.0,8
data\505_1.jpg,data\1785_1.jpg,data\3133_1.jpg,6.28,8
data\2402_1.jpg,data\1859_2.jpg,data\1140_3.jpg,6.36,3
data\2893_1.jpg,data\1338_1.jpg,data\3047_1.jpg,6.2,8
data\1232_1.jpg,data\1331_1.jpg,data\1315_1.jpg,6.08,10
data\1476_1.jpg,data\132_1.jpg,data\1430_1.jpg,6.3,8
data\1006_1.jpg,data\815_3.jpg,data\474_2.jpg,5.96,10
data\1961_1.jpg,data\2396_1.jpg,data\2885_3.jpg,6.3,6
data\1230_1.jpg,data\2396_1.jpg,data\1748_2.jpg,6.08,8
data\1995_1.jpg,data\1302_1.jpg,data\1993_1.jpg,6.0,8
data\1719_1.jpg,data\1218_1.jpg,data\2896_1.jpg,6.34,8
data\230_1.jpg,data\2021_1.jpg,data\1072_1.jpg,5.94,8
data\206_1.jpg,data\2367_3.jpg,data\3178_1.jpg,6.2,3
